experiment,device,model,run,single_time_s,single_tokens,single_toks,single_ttft_ms,agent_chain_s,step1_s,step2_s,step3_s,linear_expected_s,overhead_ratio,chain_completed,answer_correct,final_output,single_ram_mb,agent_ram_mb
E3,device3,tinyllama,1,2.5769,50,19.4,2229.7,0.937,0.3046,0.2519,0.3804,7.7307,0.1212,True,False,"I am not capable of formatting text or generating specific invoca lines for your products. However, ",928.6,831.8
E3,device3,tinyllama,2,0.399,50,125.3,75.2,0.8763,0.247,0.2456,0.3835,1.197,0.7321,True,False,"I am not capable of formatting text or generating specific invoca lines for your products. However, ",832.6,832.6
E3,device3,tinyllama,3,0.4006,50,124.82,74.63,0.8819,0.2467,0.2493,0.3856,1.2018,0.7338,True,False,"I am not capable of formatting text or generating specific invoca lines for your products. However, ",833.6,837.5
E3,device3,tinyllama,4,0.3847,50,129.97,56.18,0.8958,0.2725,0.2426,0.3805,1.1541,0.7762,True,False,"I am not capable of formatting text or generating specific invoca lines for your products. However, ",835.6,837.0
E3,device3,tinyllama,5,0.3766,50,132.76,50.95,0.8845,0.2518,0.2432,0.3893,1.1298,0.7828,True,False,"I am not capable of formatting text or generating specific invoca lines for your products. However, ",836.8,836.5
E3,device3,tinyllama,6,0.3871,50,129.17,59.09,0.8921,0.2587,0.254,0.3792,1.1613,0.7682,True,False,"I am not capable of formatting text or generating specific invoca lines for your products. However, ",836.8,836.8
E3,device3,tinyllama,7,0.3883,50,128.75,58.1,0.8797,0.2499,0.2471,0.3826,1.1649,0.7552,True,False,"I am not capable of formatting text or generating specific invoca lines for your products. However, ",836.5,837.8
E3,device3,tinyllama,8,0.3847,50,129.97,56.66,0.8802,0.2526,0.246,0.3815,1.1541,0.7627,True,False,"I am not capable of formatting text or generating specific invoca lines for your products. However, ",837.8,841.2
E3,device3,tinyllama,9,0.3765,50,132.8,52.7,0.8866,0.2542,0.2512,0.381,1.1295,0.7849,True,False,"I am not capable of formatting text or generating specific invoca lines for your products. However, ",837.7,842.0
E3,device3,tinyllama,10,0.3819,50,130.91,53.97,0.8839,0.2572,0.2456,0.381,1.1457,0.7715,True,False,"I am not capable of formatting text or generating specific invoca lines for your products. However, ",841.4,839.9
