experiment,device,model,run,routed_model,path_executed,single_time_s,single_tokens,single_toks,single_ttft_ms,agent_chain_s,step1_s,step2_s,step3_s,overhead_ratio,chain_completed,answer_correct,final_output,single_ram_mb,agent_ram_mb
E3,device2,tinyllama,1,mistral:7b,Multi-Agent,5.7224,50,8.74,3315.1,10.7661,3.6273,3.2589,3.8795,1.8814,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1197.9,1213.2
E3,device2,tinyllama,2,mistral:7b,Multi-Agent,4.1552,50,12.03,1831.36,10.5005,3.1728,3.308,4.0193,2.5271,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1209.7,1214.8
E3,device2,tinyllama,3,mistral:7b,Multi-Agent,4.7766,50,10.47,2302.68,10.5116,3.3329,3.2535,3.9249,2.2006,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1212.2,1216.2
E3,device2,tinyllama,4,mistral:7b,Multi-Agent,4.0079,50,12.48,1863.4,11.1396,3.1869,3.5839,4.3685,2.7794,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1214.4,1221.9
E3,device2,tinyllama,5,mistral:7b,Multi-Agent,6.3542,50,7.87,3167.29,12.3932,4.366,3.8289,4.1981,1.9504,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1221.3,1224.3
E3,device2,tinyllama,6,mistral:7b,Multi-Agent,4.3571,50,11.48,2060.63,11.4251,3.5591,3.5354,4.3303,2.6222,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1221.8,1224.9
E3,device2,tinyllama,7,mistral:7b,Multi-Agent,4.8714,50,10.26,2055.19,12.79,4.4991,3.9788,4.3117,2.6255,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1224.5,1224.4
E3,device2,tinyllama,8,mistral:7b,Multi-Agent,4.5687,50,10.94,2179.72,11.8649,3.6892,3.7839,4.3915,2.597,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1221.8,1223.1
E3,device2,tinyllama,9,mistral:7b,Multi-Agent,4.2716,50,11.71,2058.4,11.6522,3.5739,3.6663,4.4118,2.7278,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1223.0,1223.2
E3,device2,tinyllama,10,mistral:7b,Multi-Agent,4.4693,50,11.19,2127.21,11.2621,3.4674,3.5562,4.2382,2.5199,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1224.2,1231.0
E3,device2,tinyllama,11,mistral:7b,Multi-Agent,4.4851,50,11.15,2059.58,11.4245,3.4462,3.3976,4.5803,2.5472,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1228.5,1229.5
E3,device2,tinyllama,12,mistral:7b,Multi-Agent,4.6363,50,10.78,2285.68,11.1165,3.3598,3.4777,4.2786,2.3977,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1226.6,1227.9
E3,device2,tinyllama,13,mistral:7b,Multi-Agent,4.3809,50,11.41,1978.11,11.3863,3.5033,3.5138,4.3689,2.5991,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1228.3,1232.8
E3,device2,tinyllama,14,mistral:7b,Multi-Agent,4.3684,50,11.45,2100.76,10.492,3.1192,3.2204,4.1521,2.4018,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1227.8,1227.8
E3,device2,tinyllama,15,mistral:7b,Multi-Agent,4.0556,50,12.33,1815.97,10.3596,3.2446,3.1836,3.9311,2.5544,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1222.7,1230.8
E3,device2,tinyllama,16,mistral:7b,Multi-Agent,4.0852,50,12.24,1932.65,10.7858,3.2045,3.4276,4.1534,2.6402,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1231.6,1229.5
E3,device2,tinyllama,17,mistral:7b,Multi-Agent,4.3383,50,11.53,2003.51,7.6602,2.5555,2.2613,2.8432,1.7657,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1228.7,1230.4
E3,device2,tinyllama,18,mistral:7b,Multi-Agent,2.9215,50,17.11,1309.84,7.711,2.2711,2.2896,3.1502,2.6394,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1229.0,1234.1
E3,device2,tinyllama,19,mistral:7b,Multi-Agent,3.1622,50,15.81,1437.99,7.8592,2.4138,2.4716,2.9736,2.4854,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1229.3,1230.5
E3,device2,tinyllama,20,mistral:7b,Multi-Agent,3.1091,50,16.08,1388.9,7.9735,2.4227,2.47,3.0805,2.5646,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1230.6,1230.6
E3,device2,tinyllama,21,mistral:7b,Multi-Agent,3.1551,50,15.85,1401.3,7.791,2.3699,2.4399,2.981,2.4694,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1230.2,1227.0
E3,device2,tinyllama,22,mistral:7b,Multi-Agent,3.1395,50,15.93,1408.13,7.9169,2.4328,2.4852,2.9987,2.5217,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1226.9,1225.5
E3,device2,tinyllama,23,mistral:7b,Multi-Agent,3.1471,50,15.89,1411.14,8.1358,2.5298,2.5465,3.0593,2.5852,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1223.2,1226.1
E3,device2,tinyllama,24,mistral:7b,Multi-Agent,3.2628,50,15.32,1473.99,8.1666,2.4767,2.6203,3.0695,2.503,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1225.3,1224.4
E3,device2,tinyllama,25,mistral:7b,Multi-Agent,3.2413,50,15.43,1477.98,8.3258,2.602,2.5669,3.1566,2.5687,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1224.4,1226.2
E3,device2,tinyllama,26,mistral:7b,Multi-Agent,3.3016,50,15.14,1478.34,8.2452,2.5028,2.5804,3.1619,2.4973,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1224.7,1237.5
E3,device2,tinyllama,27,mistral:7b,Multi-Agent,3.2814,50,15.24,1492.01,8.2951,2.5615,2.5947,3.1388,2.5279,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1240.0,1239.2
E3,device2,tinyllama,28,mistral:7b,Multi-Agent,3.3798,50,14.79,1575.24,8.5261,2.6114,2.6666,3.248,2.5227,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1234.7,1230.7
E3,device2,tinyllama,29,mistral:7b,Multi-Agent,3.2723,50,15.28,1485.37,8.8652,2.6715,2.7187,3.4748,2.7092,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1226.6,1237.9
E3,device2,tinyllama,30,mistral:7b,Multi-Agent,3.477,50,14.38,1569.02,8.7225,2.664,2.7332,3.3251,2.5086,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1237.8,1236.9
E3,device2,phi3:mini,1,mistral:7b,Multi-Agent,27.8123,24,0.86,23124.57,32.0947,9.2296,9.9109,12.9536,1.154,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",4174.0,3425.3
E3,device2,phi3:mini,2,mistral:7b,Multi-Agent,10.4284,24,2.3,6299.18,31.929,9.305,9.3984,13.2253,3.0617,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3422.8,3433.0
E3,device2,phi3:mini,3,mistral:7b,Multi-Agent,9.5975,24,2.5,6040.09,30.6316,9.1688,9.1238,12.3312,3.1916,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3432.5,3432.5
