experiment,device,model,sample_id,expected,predicted,correct,tokens_per_sec,ttft_ms
E2-accuracy,device3,tinyllama,1,inquiry,"response:
hi i am unable to provide",False,3.95,2463.78
E2-accuracy,device3,tinyllama,2,inquiry,"response:
sure! the email is a",False,89.51,47.19
E2-accuracy,device3,tinyllama,3,inquiry,"response:
return policy: this email falls under",False,93.89,44.7
E2-accuracy,device3,tinyllama,4,inquiry,"response:
based on the provided email and",False,96.65,42.52
E2-accuracy,device3,tinyllama,5,inquiry,"response:
the email is a complaint and",False,94.94,43.79
E2-accuracy,device3,tinyllama,6,inquiry,"response:
yes your payment of rs",False,94.14,44.59
E2-accuracy,device3,tinyllama,7,inquiry,"response:
yes the email falls under the",False,94.92,44.1
E2-accuracy,device3,tinyllama,8,inquiry,"response:
the email is classified as a",False,95.38,44.26
E2-accuracy,device3,tinyllama,9,inquiry,"response:
yes we do offer bulk disc",False,96.24,42.96
E2-accuracy,device3,tinyllama,10,inquiry,"response:
yes the new 20",False,94.28,44.13
E2-accuracy,device3,tinyllama,11,complaint,"response:
the email is classified as a",False,95.44,42.95
E2-accuracy,device3,tinyllama,12,complaint,"response:
category: complaint

thank",True,96.04,43.58
E2-accuracy,device3,tinyllama,13,complaint,"response:
the email is classified as a",False,93.73,43.72
E2-accuracy,device3,tinyllama,14,complaint,"response:
the email is classified as an",False,94.65,44.36
E2-accuracy,device3,tinyllama,15,complaint,"response:
the email is classified as an",False,91.75,47.51
E2-accuracy,device3,tinyllama,16,complaint,"response:
category: complaint

i",True,94.39,43.46
E2-accuracy,device3,tinyllama,17,complaint,"response:
the email has been classified as",False,94.63,44.29
E2-accuracy,device3,tinyllama,18,complaint,"response:
the email has been classified as",False,95.22,43.09
E2-accuracy,device3,tinyllama,19,complaint,"response:
category: complaint

thank",True,93.72,44.38
E2-accuracy,device3,tinyllama,20,complaint,"response:
category: complaint

thank",True,95.0,44.33
E2-accuracy,device3,tinyllama,21,feedback,"response:
thank you for your feedback! we",True,95.13,43.67
E2-accuracy,device3,tinyllama,22,feedback,"response:
thank you for sharing your feedback!",True,96.13,43.45
E2-accuracy,device3,tinyllama,23,feedback,"response:
catgoeries: inquiry",False,95.69,43.66
E2-accuracy,device3,tinyllama,24,feedback,"response:
thank you for your email we",False,94.15,44.87
E2-accuracy,device3,tinyllama,25,feedback,"response:
sure! here's how",False,95.27,43.83
E2-accuracy,device3,tinyllama,26,feedback,"response:
thank you for your feedback! we",True,92.82,45.82
E2-accuracy,device3,tinyllama,27,feedback,"response:
catgoeries: inquiry",False,95.42,43.81
E2-accuracy,device3,tinyllama,28,feedback,"response:
thank you for your email the",False,94.54,45.14
E2-accuracy,device3,tinyllama,29,feedback,"response:
thank you for your feedback! we",True,96.07,42.83
E2-accuracy,device3,tinyllama,30,feedback,"response:
category: complaint

thank",False,95.36,44.23
E2-accuracy,device3,tinyllama,31,spam,"response: category: complaint

email:",False,94.44,44.69
E2-accuracy,device3,tinyllama,32,spam,"response:
catgoir: urg",False,95.22,44.28
E2-accuracy,device3,tinyllama,33,spam,"response:
category: inquiry

thank",False,96.35,42.32
E2-accuracy,device3,tinyllama,34,spam,"response:
dear valued customer",False,94.41,44.78
E2-accuracy,device3,tinyllama,35,spam,"response:
the email is classified as """,False,88.62,51.18
