experiment,device,model,run,total_time_s,ttft_ms,tokens,tokens_per_sec,peak_ram_mb,avg_cpu_pct,load_time_s,initial_error_type,recovery_attempted,recovery_successful,actual_output
E4,device2,phi3:mini,1,55.6719,19753.62,239,4.29,4201.9,46.1,22.71,Calculation Error,True,False,"```json  {    ""subtotal"": 843.75,    ""tax_amount"": 52.734375,    ""coupon"": -25,    ""final_total"": 769.084375  }  ```  To calculate the subtotal: $112.50 * 7 = $787.50 (rounded to two decimal places). Then apply a tax of 6.25% on this amount, which is approximately $52.734375 ($787.50 * 0.06"
E4,device2,phi3:mini,2,43.5561,5293.13,239,5.49,3456.3,51.6,22.71,Calculation Error,True,False,"```json  {    ""subtotal"": 843.75,    ""tax_amount"": 52.734375,    ""coupon"": -25,    ""final_total"": 769.084375  }  ```  To calculate the subtotal: $112.50 * 7 = $787.50 (rounded to two decimal places). Then apply a tax of 6.25% on this amount, which is approximately $52.734375 ($787.50 * 0.06"
E4,device2,phi3:mini,3,42.3011,5566.8,239,5.65,3463.5,51.3,22.71,Calculation Error,True,False,"```json  {    ""subtotal"": 843.75,    ""tax_amount"": 52.734375,    ""coupon"": -25,    ""final_total"": 769.084375  }  ```  To calculate the subtotal: $112.50 * 7 = $787.50 (rounded to two decimal places). Then apply a tax of 6.25% on this amount, which is approximately $52.734375 ($787.50 * 0.06"
E4,device2,phi3:mini,4,42.0046,5743.5,239,5.69,3462.5,51.4,22.71,Calculation Error,True,False,"```json  {    ""subtotal"": 843.75,    ""tax_amount"": 52.734375,    ""coupon"": -25,    ""final_total"": 769.084375  }  ```  To calculate the subtotal: $112.50 * 7 = $787.50 (rounded to two decimal places). Then apply a tax of 6.25% on this amount, which is approximately $52.734375 ($787.50 * 0.06"
E4,device2,phi3:mini,5,43.0737,5384.25,239,5.55,3461.5,51.2,22.71,Calculation Error,True,False,"```json  {    ""subtotal"": 843.75,    ""tax_amount"": 52.734375,    ""coupon"": -25,    ""final_total"": 769.084375  }  ```  To calculate the subtotal: $112.50 * 7 = $787.50 (rounded to two decimal places). Then apply a tax of 6.25% on this amount, which is approximately $52.734375 ($787.50 * 0.06"
E4,device2,phi3:mini,6,42.378,5479.69,239,5.64,3462.5,51.6,22.71,Calculation Error,True,False,"```json  {    ""subtotal"": 843.75,    ""tax_amount"": 52.734375,    ""coupon"": -25,    ""final_total"": 769.084375  }  ```  To calculate the subtotal: $112.50 * 7 = $787.50 (rounded to two decimal places). Then apply a tax of 6.25% on this amount, which is approximately $52.734375 ($787.50 * 0.06"
E4,device2,phi3:mini,7,41.9424,5285.64,239,5.7,3460.4,51.4,22.71,Calculation Error,True,False,"```json  {    ""subtotal"": 843.75,    ""tax_amount"": 52.734375,    ""coupon"": -25,    ""final_total"": 769.084375  }  ```  To calculate the subtotal: $112.50 * 7 = $787.50 (rounded to two decimal places). Then apply a tax of 6.25% on this amount, which is approximately $52.734375 ($787.50 * 0.06"
E4,device2,phi3:mini,8,43.2601,5990.79,239,5.52,3460.4,51.7,22.71,Calculation Error,True,False,"```json  {    ""subtotal"": 843.75,    ""tax_amount"": 52.734375,    ""coupon"": -25,    ""final_total"": 769.084375  }  ```  To calculate the subtotal: $112.50 * 7 = $787.50 (rounded to two decimal places). Then apply a tax of 6.25% on this amount, which is approximately $52.734375 ($787.50 * 0.06"
E4,device2,phi3:mini,9,44.2167,5681.66,239,5.41,3462.1,51.7,22.71,Calculation Error,True,False,"```json  {    ""subtotal"": 843.75,    ""tax_amount"": 52.734375,    ""coupon"": -25,    ""final_total"": 769.084375  }  ```  To calculate the subtotal: $112.50 * 7 = $787.50 (rounded to two decimal places). Then apply a tax of 6.25% on this amount, which is approximately $52.734375 ($787.50 * 0.06"
E4,device2,phi3:mini,10,45.5634,5923.34,239,5.25,3466.6,51.6,22.71,Calculation Error,True,False,"```json  {    ""subtotal"": 843.75,    ""tax_amount"": 52.734375,    ""coupon"": -25,    ""final_total"": 769.084375  }  ```  To calculate the subtotal: $112.50 * 7 = $787.50 (rounded to two decimal places). Then apply a tax of 6.25% on this amount, which is approximately $52.734375 ($787.50 * 0.06"
E4,device2,phi3:mini,11,42.2408,6134.07,239,5.66,3466.6,52.0,22.71,Calculation Error,True,False,"```json  {    ""subtotal"": 843.75,    ""tax_amount"": 52.734375,    ""coupon"": -25,    ""final_total"": 769.084375  }  ```  To calculate the subtotal: $112.50 * 7 = $787.50 (rounded to two decimal places). Then apply a tax of 6.25% on this amount, which is approximately $52.734375 ($787.50 * 0.06"
E4,device2,phi3:mini,12,42.6282,5661.37,239,5.61,3466.4,51.5,22.71,Calculation Error,True,False,"```json  {    ""subtotal"": 843.75,    ""tax_amount"": 52.734375,    ""coupon"": -25,    ""final_total"": 769.084375  }  ```  To calculate the subtotal: $112.50 * 7 = $787.50 (rounded to two decimal places). Then apply a tax of 6.25% on this amount, which is approximately $52.734375 ($787.50 * 0.06"
