experiment,device,model,run,single_time_s,single_tokens,single_toks,single_ttft_ms,agent_chain_s,step1_s,step2_s,step3_s,linear_expected_s,overhead_ratio,chain_completed,answer_correct,final_output,single_ram_mb,agent_ram_mb
E3,device2,tinyllama,1,3.9699,50,12.59,2377.11,7.4762,2.2415,2.2499,2.9847,11.9097,0.6277,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1195.4,1208.4
E3,device2,tinyllama,2,2.8743,50,17.4,1361.47,7.1431,2.1881,2.2364,2.7184,8.6229,0.8284,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1207.9,1212.5
E3,device2,tinyllama,3,2.8423,50,17.59,1332.09,7.1936,2.216,2.1958,2.7815,8.5269,0.8436,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1213.1,1214.6
E3,device2,tinyllama,4,2.9495,50,16.95,1420.41,7.2997,2.2634,2.2751,2.761,8.8485,0.825,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1213.2,1217.0
E3,device2,tinyllama,5,2.8675,50,17.44,1324.24,7.148,2.2596,2.2217,2.6664,8.6025,0.8309,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1217.0,1222.4
E3,device2,tinyllama,6,2.8725,50,17.41,1291.09,7.5215,2.2849,2.3778,2.8586,8.6175,0.8728,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1218.1,1220.0
E3,device2,tinyllama,7,3.0456,50,16.42,1490.65,7.2282,2.2461,2.2566,2.7254,9.1368,0.7911,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1220.3,1221.5
E3,device2,tinyllama,8,2.898,50,17.25,1329.0,7.2291,2.2442,2.2731,2.7116,8.694,0.8315,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1219.3,1220.4
E3,device2,tinyllama,9,2.8831,50,17.34,1318.07,7.6142,2.2211,2.2541,3.1388,8.6493,0.8803,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1223.1,1223.4
E3,device2,tinyllama,10,3.1039,50,16.11,1463.07,7.4135,2.3507,2.3111,2.7514,9.3117,0.7961,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1220.9,1224.9
E3,device2,tinyllama,11,2.8569,50,17.5,1309.17,7.3134,2.2028,2.3195,2.7908,8.5707,0.8533,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1227.2,1227.0
E3,device2,tinyllama,12,2.8979,50,17.25,1334.51,7.7481,2.4805,2.3874,2.88,8.6937,0.8912,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1222.8,1227.4
E3,device2,tinyllama,13,3.4819,50,14.36,1565.68,8.4914,2.5542,2.6456,3.2914,10.4457,0.8129,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1227.8,1231.2
E3,device2,tinyllama,14,3.3304,50,15.01,1494.97,8.9311,2.6965,2.7887,3.4458,9.9912,0.8939,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1234.0,1233.9
E3,device2,tinyllama,15,3.1529,50,15.86,1543.17,7.8383,2.3823,2.4538,3.0018,9.4587,0.8287,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1224.5,1228.4
E3,device2,tinyllama,16,2.9358,50,17.03,1345.02,7.5774,2.2648,2.4199,2.8924,8.8074,0.8603,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1228.4,1228.6
E3,device2,tinyllama,17,3.0075,50,16.63,1362.53,7.7736,2.4022,2.4176,2.9536,9.0225,0.8616,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1228.0,1225.5
E3,device2,tinyllama,18,2.9691,50,16.84,1331.86,7.6317,2.3511,2.3802,2.9002,8.9073,0.8568,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1229.5,1231.1
E3,device2,tinyllama,19,3.0379,50,16.46,1396.39,7.7336,2.3653,2.4236,2.9445,9.1137,0.8486,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1231.9,1231.8
E3,device2,tinyllama,20,3.1116,50,16.07,1431.79,7.7537,2.3993,2.4229,2.9313,9.3348,0.8306,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1230.5,1228.3
E3,device2,tinyllama,21,3.1354,50,15.95,1422.56,8.3014,2.5056,2.758,3.0375,9.4062,0.8825,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1227.0,1230.4
E3,device2,tinyllama,22,3.1703,50,15.77,1433.9,8.1082,2.508,2.5333,3.0666,9.5109,0.8525,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1232.0,1233.8
E3,device2,tinyllama,23,3.2032,50,15.61,1467.97,8.1857,2.51,2.5316,3.1439,9.6096,0.8518,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1228.3,1230.0
E3,device2,tinyllama,24,3.2416,50,15.42,1485.37,8.3415,2.5721,2.6247,3.1445,9.7248,0.8578,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1232.9,1235.3
E3,device2,tinyllama,25,3.466,50,14.43,1601.9,8.5153,2.6205,2.6792,3.2155,10.398,0.8189,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1232.8,1235.5
E3,device2,tinyllama,26,3.3906,50,14.75,1542.75,8.6417,2.6532,2.7057,3.2826,10.1718,0.8496,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1234.2,1233.3
E3,device2,tinyllama,27,3.8141,50,13.11,1772.49,8.9512,2.7232,2.8203,3.4075,11.4423,0.7823,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1230.2,1232.2
E3,device2,tinyllama,28,3.5797,50,13.97,1660.38,9.1051,2.8127,2.8315,3.4605,10.7391,0.8478,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1229.0,1230.2
E3,device2,tinyllama,29,3.5778,50,13.98,1620.83,9.2597,2.9464,2.8396,3.4733,10.7334,0.8627,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1226.7,1232.5
E3,device2,tinyllama,30,3.5573,50,14.06,1590.93,9.1217,2.7939,2.8983,3.4292,10.6719,0.8547,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1233.9,1237.8
E3,device2,phi3:mini,1,12.2914,24,1.95,9786.83,20.9588,6.0685,6.2171,8.6728,36.8742,0.5684,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",4158.2,3409.8
