experiment,device,model,sample_id,expected,predicted,correct,tokens_per_sec,ttft_ms
E2-accuracy,device1,tinyllama,1,inquiry,"response:
hi i am unable to provide",False,1.5,6252.28
E2-accuracy,device1,tinyllama,2,inquiry,"response:
sure! the email is a",False,3.46,2466.61
E2-accuracy,device1,tinyllama,3,inquiry,"response:
return policy: this email falls under",False,3.31,2599.31
E2-accuracy,device1,tinyllama,4,inquiry,"response:
based on the provided email",False,3.73,2268.24
E2-accuracy,device1,tinyllama,5,inquiry,"response:
the email is classified as a",False,3.55,2404.61
E2-accuracy,device1,tinyllama,6,inquiry,"response:
yes your payment of rs",False,3.57,2392.88
E2-accuracy,device1,tinyllama,7,inquiry,"response:
category: inquiry

thank",True,3.86,2180.1
E2-accuracy,device1,tinyllama,8,inquiry,"response:
the email is classified as a",False,3.82,2207.26
E2-accuracy,device1,tinyllama,9,inquiry,"response:
yes we do offer bulk disc",False,3.88,2165.51
E2-accuracy,device1,tinyllama,10,inquiry,"response:
yes the new 20",False,3.25,2659.91
E2-accuracy,device1,tinyllama,11,complaint,"response:
category: complaint

thank",True,3.78,2234.9
E2-accuracy,device1,tinyllama,12,complaint,"response:
category: complaint

thank",True,3.74,2254.27
E2-accuracy,device1,tinyllama,13,complaint,"response:
category: complaint

thank",True,3.29,2623.46
E2-accuracy,device1,tinyllama,14,complaint,"response:
the email is classified as an",False,3.39,2538.83
E2-accuracy,device1,tinyllama,15,complaint,"response:
the email is classified as an",False,3.94,2119.46
E2-accuracy,device1,tinyllama,16,complaint,"response:
category: complaint

i",True,3.48,2457.88
E2-accuracy,device1,tinyllama,17,complaint,"response:
catgoer: (sent",False,3.25,2656.8
E2-accuracy,device1,tinyllama,18,complaint,"response:
category: complaint",True,2.54,2436.89
E2-accuracy,device1,tinyllama,19,complaint,"response:
category: complaint

thank",True,3.19,2714.22
E2-accuracy,device1,tinyllama,20,complaint,"response:
the email has been classified as",False,3.28,2640.83
E2-accuracy,device1,tinyllama,21,feedback,"response:
thank you for your feedback! we",True,3.58,2385.12
E2-accuracy,device1,tinyllama,22,feedback,"response:
thank you for sharing your feedback!",True,3.94,2125.19
E2-accuracy,device1,tinyllama,23,feedback,"response:
catgoer: thank you for",False,3.62,2353.68
E2-accuracy,device1,tinyllama,24,feedback,"response:
thank you for your email we",False,3.53,2374.53
E2-accuracy,device1,tinyllama,25,feedback,"response:
sure! here's how",False,3.74,2258.4
E2-accuracy,device1,tinyllama,26,feedback,"response:
thank you for your feedback! we",True,3.31,2601.26
E2-accuracy,device1,tinyllama,27,feedback,"response:
catgoeries: inquiry",False,3.33,2572.95
E2-accuracy,device1,tinyllama,28,feedback,"response:
the email is classified as an",False,3.83,2199.83
E2-accuracy,device1,tinyllama,29,feedback,"response:
thank you for your feedback! we",True,3.6,2362.95
E2-accuracy,device1,tinyllama,30,feedback,"response:
category: complaint

thank",False,4.11,2023.78
E2-accuracy,device1,tinyllama,31,spam,response: congratulations! you have won a,False,3.01,2904.13
E2-accuracy,device1,tinyllama,32,spam,"response:
catgoer: thank you for",False,3.29,2635.33
E2-accuracy,device1,tinyllama,33,spam,"response:
category: inquiry

thank",False,3.6,2362.29
E2-accuracy,device1,tinyllama,34,spam,"response:
dear valued customer",False,3.01,2896.47
E2-accuracy,device1,tinyllama,35,spam,"response:
the email is classified as """,False,3.45,2479.27
E2-accuracy,device1,tinyllama,36,spam,"response:
categoary: inquiry",False,2.97,2945.73
E2-accuracy,device1,tinyllama,37,spam,"response:
category: complaint

thank",False,3.14,2755.9
E2-accuracy,device1,tinyllama,38,spam,"response:
catgoer: ""sure",False,3.25,2653.8
E2-accuracy,device1,tinyllama,39,spam,"response:
categoory: complaint",False,2.97,2938.33
E2-accuracy,device1,tinyllama,40,spam,"response:
categoary: investment",False,2.89,3026.01
E2-accuracy,device1,tinyllama,41,urgent,"response:
catgo: urgent: server",True,3.37,2538.75
E2-accuracy,device1,tinyllama,42,urgent,"response:
category: urgent

i",True,3.78,2239.38
E2-accuracy,device1,tinyllama,43,urgent,"response:
category: complaint

thank",False,3.56,2388.8
E2-accuracy,device1,tinyllama,44,urgent,"response:
categoory: complaint",False,3.14,2766.33
E2-accuracy,device1,tinyllama,45,urgent,"response:
catgoer: ""sure",False,3.71,2278.64
E2-accuracy,device1,tinyllama,46,urgent,"response:
categoory: complaint",False,3.46,2480.89
E2-accuracy,device1,tinyllama,47,urgent,"response:
categoary: inquiry",False,3.46,2464.78
E2-accuracy,device1,tinyllama,48,urgent,"response:
category: urgent

b",True,3.74,2262.11
E2-accuracy,device1,tinyllama,49,urgent,"response:
category: complaint

thank",False,3.32,2581.66
E2-accuracy,device1,tinyllama,50,urgent,"response:
categoory: critical bug",False,3.59,2372.18
E2-accuracy,device1,tinyllama,51,inquiry,"response:
category: inquiry

thank",True,3.41,2511.95
E2-accuracy,device1,tinyllama,52,inquiry,"response:
yes you can upgrade your current",False,4.18,1974.17
E2-accuracy,device1,tinyllama,53,complaint,"response:
the email has been classified as",False,3.38,2545.37
E2-accuracy,device1,tinyllama,54,complaint,"response:
the email has been classified as",False,3.86,2179.25
E2-accuracy,device1,tinyllama,55,feedback,"response:
the email is classified as """,False,3.55,2393.95
E2-accuracy,device1,tinyllama,56,feedback,"response:
thank you for your feedback! your",True,3.49,2447.89
E2-accuracy,device1,tinyllama,57,spam,"response:
category: complaint

thank",False,2.93,2993.08
E2-accuracy,device1,tinyllama,58,spam,response: congratulations! your email has been,False,2.89,3051.46
E2-accuracy,device1,tinyllama,59,urgent,"response:
catgoeries: urgent",True,3.32,2598.71
E2-accuracy,device1,tinyllama,60,urgent,"response:
categoory: complaint",False,2.92,3012.15
E2-accuracy,device1,tinyllama,61,inquiry,"response:
category: complaint

thank",False,3.43,2499.01
E2-accuracy,device1,tinyllama,62,inquiry,"response:
the email is classified as a",False,3.88,2160.58
E2-accuracy,device1,tinyllama,63,complaint,"response:
the email is a complaint",True,2.91,3027.45
E2-accuracy,device1,tinyllama,64,complaint,"response:
category: complaint

thank",True,3.23,2666.78
E2-accuracy,device1,tinyllama,65,feedback,"response:
thank you for your feedback we",True,3.17,2740.73
E2-accuracy,device1,tinyllama,66,feedback,"response:
the email has been classified as",False,3.81,2209.17
E2-accuracy,device1,tinyllama,67,spam,"response:
the email has been classified as",False,2.88,3052.18
E2-accuracy,device1,tinyllama,68,spam,response: thank you for your email the information,False,3.26,2648.3
E2-accuracy,device1,tinyllama,69,urgent,"response:
catgoer: urgent!",True,3.45,2478.71
E2-accuracy,device1,tinyllama,70,urgent,"response:
catgoer: ""thank you",False,3.14,2767.55
E2-accuracy,device1,tinyllama,71,inquiry,"response:
yes we accept both contactless",False,3.7,2287.64
E2-accuracy,device1,tinyllama,72,inquiry,"response:
based on the provided email",False,3.71,2272.33
E2-accuracy,device1,tinyllama,73,complaint,"response:
the email has been classified as",False,3.65,2314.8
E2-accuracy,device1,tinyllama,74,complaint,"response:
the email is classified as an",False,3.47,2453.57
E2-accuracy,device1,tinyllama,75,feedback,"response:
category: complaint

thank",False,3.51,2433.07
E2-accuracy,device1,tinyllama,76,feedback,"response:
thank you for bringing this to our",False,3.14,2760.23
E2-accuracy,device1,tinyllama,77,spam,"response:
categoory: complaint",False,2.86,3071.94
E2-accuracy,device1,tinyllama,78,spam,"response:
the email has been classified as",False,3.23,2658.27
E2-accuracy,device1,tinyllama,79,urgent,"response:
catgoeries: inquiry",False,3.13,2776.0
E2-accuracy,device1,tinyllama,80,urgent,"response:
categoary: inquiry",False,3.23,2675.3
E2-accuracy,device1,tinyllama,81,inquiry,"response:
yes our restaurant caters for",False,3.7,2284.49
