experiment,device,model,sample_id,expected,predicted,correct,tokens_per_sec,ttft_ms
E2-accuracy,device1,tinyllama,1,inquiry,,False,0.0,2.39
E2-accuracy,device1,tinyllama,2,inquiry,,False,0.0,2.38
E2-accuracy,device1,tinyllama,3,inquiry,,False,0.0,2.28
E2-accuracy,device1,tinyllama,4,inquiry,,False,0.0,4.01
E2-accuracy,device1,tinyllama,5,inquiry,,False,0.0,2.48
E2-accuracy,device1,tinyllama,6,inquiry,,False,0.0,3.11
E2-accuracy,device1,tinyllama,7,inquiry,,False,0.0,2.74
E2-accuracy,device1,tinyllama,8,inquiry,,False,0.0,2.14
E2-accuracy,device1,tinyllama,9,inquiry,,False,0.0,2.48
E2-accuracy,device1,tinyllama,10,inquiry,,False,0.0,2.23
E2-accuracy,device1,tinyllama,11,complaint,,False,0.0,2.25
E2-accuracy,device1,tinyllama,12,complaint,,False,0.0,2.62
E2-accuracy,device1,tinyllama,13,complaint,,False,0.0,2.13
E2-accuracy,device1,tinyllama,14,complaint,,False,0.0,2.26
E2-accuracy,device1,tinyllama,15,complaint,,False,0.0,1.88
E2-accuracy,device1,tinyllama,16,complaint,,False,0.0,1.93
E2-accuracy,device1,tinyllama,17,complaint,,False,0.0,2.4
E2-accuracy,device1,tinyllama,18,complaint,,False,0.0,2.28
E2-accuracy,device1,tinyllama,19,complaint,,False,0.0,2.22
E2-accuracy,device1,tinyllama,20,complaint,,False,0.0,1.99
E2-accuracy,device1,tinyllama,21,feedback,,False,0.0,2.22
E2-accuracy,device1,tinyllama,22,feedback,,False,0.0,2.75
E2-accuracy,device1,tinyllama,23,feedback,,False,0.0,2.26
E2-accuracy,device1,tinyllama,24,feedback,,False,0.0,7.33
E2-accuracy,device1,tinyllama,25,feedback,,False,0.0,2.1
E2-accuracy,device1,tinyllama,26,feedback,,False,0.0,2.03
E2-accuracy,device1,tinyllama,27,feedback,,False,0.0,2.42
E2-accuracy,device1,tinyllama,28,feedback,,False,0.0,1.76
E2-accuracy,device1,tinyllama,29,feedback,,False,0.0,1.74
E2-accuracy,device1,tinyllama,30,feedback,,False,0.0,2.29
E2-accuracy,device1,tinyllama,31,spam,,False,0.0,1.42
E2-accuracy,device1,tinyllama,32,spam,,False,0.0,1.67
E2-accuracy,device1,tinyllama,33,spam,,False,0.0,1.72
E2-accuracy,device1,tinyllama,34,spam,,False,0.0,1.68
E2-accuracy,device1,tinyllama,35,spam,,False,0.0,1.7
E2-accuracy,device1,tinyllama,36,spam,,False,0.0,2.12
E2-accuracy,device1,tinyllama,37,spam,,False,0.0,1.53
E2-accuracy,device1,tinyllama,38,spam,,False,0.0,1.82
E2-accuracy,device1,tinyllama,39,spam,,False,0.0,2.23
E2-accuracy,device1,tinyllama,40,spam,,False,0.0,2.38
E2-accuracy,device1,tinyllama,41,urgent,,False,0.0,2.15
E2-accuracy,device1,tinyllama,42,urgent,,False,0.0,2.45
E2-accuracy,device1,tinyllama,43,urgent,,False,0.0,1.96
E2-accuracy,device1,tinyllama,44,urgent,,False,0.0,2.38
E2-accuracy,device1,tinyllama,45,urgent,,False,0.0,2.12
E2-accuracy,device1,tinyllama,46,urgent,,False,0.0,1.79
E2-accuracy,device1,tinyllama,47,urgent,,False,0.0,1.65
E2-accuracy,device1,tinyllama,48,urgent,,False,0.0,1.6
