experiment,device,model,run,routed_model,path_executed,single_time_s,single_tokens,single_toks,single_ttft_ms,agent_chain_s,step1_s,step2_s,step3_s,overhead_ratio,chain_completed,answer_correct,final_output,single_ram_mb,agent_ram_mb
E3,device3,tinyllama,1,mistral:7b,Multi-Agent,2.4571,50,20.35,1005.26,5.0315,1.5418,1.5257,1.9637,2.0477,True,False,"I am not able to format text or generate visuals, but I can provide you with an example response bas",1219.6,1236.7
E3,device3,tinyllama,2,mistral:7b,Multi-Agent,1.4073,50,35.53,112.6,3.2595,0.8629,0.9101,1.4862,2.3162,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1237.9,1248.9
E3,device3,tinyllama,3,mistral:7b,Multi-Agent,1.5823,50,31.6,153.19,3.5255,1.0499,0.9916,1.4837,2.2281,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1250.3,1248.6
E3,device3,tinyllama,4,mistral:7b,Multi-Agent,1.4523,50,34.43,108.1,3.1632,0.9325,0.8402,1.3902,2.178,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1242.3,1243.0
E3,device3,tinyllama,5,mistral:7b,Multi-Agent,1.4638,50,34.16,134.09,3.3053,0.9322,0.8685,1.5043,2.258,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1241.2,1234.9
E3,device3,tinyllama,6,mistral:7b,Multi-Agent,1.4419,50,34.68,118.83,3.3623,1.0713,0.8964,1.3944,2.3318,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1233.5,1234.1
E3,device3,tinyllama,7,mistral:7b,Multi-Agent,1.5356,50,32.56,170.46,3.3458,0.9386,0.9495,1.4574,2.1788,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1229.8,1242.2
E3,device3,tinyllama,8,mistral:7b,Multi-Agent,1.483,50,33.72,167.72,3.3342,0.9545,0.9186,1.4609,2.2483,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1238.9,1235.9
E3,device3,tinyllama,9,mistral:7b,Multi-Agent,1.6664,50,30.0,195.5,3.3752,0.9145,0.9661,1.4944,2.0255,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1230.5,1232.9
E3,device3,tinyllama,10,mistral:7b,Multi-Agent,1.4775,50,33.84,169.86,3.2776,0.9691,0.9356,1.3726,2.2183,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1233.0,1243.9
E3,device3,tinyllama,11,mistral:7b,Multi-Agent,1.4468,50,34.56,124.18,3.353,0.9197,1.0252,1.4079,2.3175,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1240.3,1246.4
E3,device3,tinyllama,12,mistral:7b,Multi-Agent,1.4971,50,33.4,129.48,3.514,0.9831,1.0135,1.5172,2.3472,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1246.4,1239.5
E3,device3,tinyllama,13,mistral:7b,Multi-Agent,1.552,50,32.22,134.05,3.4593,1.0053,0.9665,1.4874,2.229,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1234.8,1240.4
E3,device3,tinyllama,14,mistral:7b,Multi-Agent,1.503,50,33.27,149.02,3.344,0.9018,0.9589,1.4831,2.2249,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1237.2,1235.0
E3,device3,tinyllama,15,mistral:7b,Multi-Agent,1.4479,50,34.53,141.29,3.5006,1.0427,0.9645,1.4932,2.4177,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1227.7,1228.2
E3,device3,tinyllama,16,mistral:7b,Multi-Agent,1.5341,50,32.59,138.28,3.578,1.0155,1.0352,1.527,2.3323,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1229.6,1236.3
E3,device3,tinyllama,17,mistral:7b,Multi-Agent,1.5264,50,32.76,155.54,3.406,0.9907,0.9905,1.4245,2.2314,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1234.1,1234.8
E3,device3,tinyllama,18,mistral:7b,Multi-Agent,1.5277,50,32.73,121.79,3.4228,0.9742,0.933,1.5154,2.2405,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1237.8,1236.8
E3,device3,tinyllama,19,mistral:7b,Multi-Agent,1.4349,50,34.85,100.48,3.5778,1.0601,0.9976,1.5199,2.4934,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1240.0,1241.9
E3,device3,tinyllama,20,mistral:7b,Multi-Agent,1.5863,50,31.52,149.56,3.4738,0.9935,0.949,1.5311,2.1899,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1230.2,1242.6
E3,device3,tinyllama,21,mistral:7b,Multi-Agent,1.6046,50,31.16,142.87,3.3243,0.9648,0.9466,1.4128,2.0718,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1240.8,1239.8
E3,device3,tinyllama,22,mistral:7b,Multi-Agent,1.4505,50,34.47,120.0,3.2596,1.0038,0.9225,1.333,2.2473,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1238.0,1239.1
E3,device3,tinyllama,23,mistral:7b,Multi-Agent,1.4335,50,34.88,137.72,3.4841,0.9774,1.0227,1.4837,2.4305,True,False,"I am not able to provide a specific response based on customer's query, but I can provide you with a",1227.2,1232.4
